"name","owner","creation","modified","modified_by","docstatus","idx","enabled","email","first_name","last_name","full_name","username","language","time_zone","send_welcome_email","unsubscribed","mute_sounds","desk_theme","code_editor_type","search_bar","notifications","list_sidebar","bulk_actions","view_switcher","form_sidebar","form_navigation_buttons","timeline","dashboard","show_absolute_datetime_in_timeline","new_password","logout_all_sessions","document_follow_notify","document_follow_frequency","follow_created_documents","follow_commented_documents","follow_liked_documents","follow_assigned_documents","follow_shared_documents","thread_notify","send_me_a_copy","allowed_in_mentions","simultaneous_sessions","login_after","user_type","login_before","bypass_restrict_ip_check_if_2fa_enabled","onboarding_status","doctype","role_profiles","roles","block_modules","user_emails","defaults","social_logins","active_sessions"
"accounting.team@example.com","ai-agent@internal.com","2026-05-06 16:57:12.825514","2026-05-08 23:56:44.116256","vahe.muselimyan@gmail.com","0","0","1","accounting.team@example.com","Accounting","Team","Accounting Team","accounting","en","Asia/Yerevan","0","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","{""name"":""ikoqi92fjg"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-06 16:57:12.825514"",""modified"":""2026-05-08 23:56:44.116256"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Accounting"",""parent"":""accounting.team@example.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}","","","","{""name"":""ikoaoqd8c2"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-06 16:57:12.868419"",""modified"":""2026-05-08 23:56:44.116256"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""02167dcb869abbdbdb74ee4bb26c60808f836b7"",""parent"":""accounting.team@example.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"anchilingaryan90@gmail.com","vahe.muselimyan@gmail.com","2026-05-08 20:34:54.609767","2026-05-08 20:35:05.033005","vahe.muselimyan@gmail.com","0","0","1","anchilingaryan90@gmail.com","Anahit Chilingaryan",,"Anahit Chilingaryan","anahit_chilingaryan","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","[{""name"":""9pqqclghdn"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:34:54.609767"",""modified"":""2026-05-08 20:35:05.033005"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Accounting"",""parent"":""anchilingaryan90@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""},{""name"":""9pqr72l2pe"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:34:54.609767"",""modified"":""2026-05-08 20:35:05.033005"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":2,""role"":""Ops - Purchasing"",""parent"":""anchilingaryan90@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""},{""name"":""9pqt70o742"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:34:54.609767"",""modified"":""2026-05-08 20:35:05.033005"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":3,""role"":""Ops - Order Accepting"",""parent"":""anchilingaryan90@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}]","","","","{""name"":""9mi7f9np7o"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:34:54.639470"",""modified"":""2026-05-08 20:35:05.033005"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""8ba0209c20f57e780b2bdf88c37f9562ac76702"",""parent"":""anchilingaryan90@gmail.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"artakn7@gmail.com","vahe.muselimyan@gmail.com","2026-05-08 20:31:58.254232","2026-05-08 20:32:12.689070","vahe.muselimyan@gmail.com","0","0","1","artakn7@gmail.com","Artak","Nazaryan","Artak Nazaryan","artak","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","[{""name"":""83u8tm09rk"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:31:58.254232"",""modified"":""2026-05-08 20:32:12.689070"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Delivery"",""parent"":""artakn7@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""},{""name"":""83u9vmkgvg"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:31:58.254232"",""modified"":""2026-05-08 20:32:12.689070"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":2,""role"":""Ops - Returns"",""parent"":""artakn7@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}]","","","","{""name"":""7vgatt6gbs"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:31:58.403543"",""modified"":""2026-05-08 20:32:12.689070"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""fce9817a1c68466252e908cd9de3de06af64a50"",""parent"":""artakn7@gmail.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"artursemerjyan91@gmail.com","vahe.muselimyan@gmail.com","2026-05-08 20:36:02.363012","2026-05-08 20:36:09.999249","vahe.muselimyan@gmail.com","0","0","1","artursemerjyan91@gmail.com","Artur Semerjyan",,"Artur Semerjyan","artur_semerjyan","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","[{""name"":""ae4mdkq9gc"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:36:02.363012"",""modified"":""2026-05-08 20:36:09.999249"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Delivery"",""parent"":""artursemerjyan91@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""},{""name"":""ae4ceug7fv"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:36:02.363012"",""modified"":""2026-05-08 20:36:09.999249"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":2,""role"":""Ops - Returns"",""parent"":""artursemerjyan91@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}]","","","","{""name"":""abocfsslh9"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:36:02.414136"",""modified"":""2026-05-08 20:36:09.999249"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""dc26f838b77486909569c6ea52c7d87c52b2d4c"",""parent"":""artursemerjyan91@gmail.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"delivery.team@example.com","vahe.muselimyan@gmail.com","2026-05-08 20:27:27.465261","2026-05-08 23:56:22.180078","vahe.muselimyan@gmail.com","0","0","1","delivery.team@example.com","Delivery Team",,"Delivery Team","delivery_team","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","{""name"":""5fkabnh7ed"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:27:27.465261"",""modified"":""2026-05-08 23:56:22.180078"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Delivery"",""parent"":""delivery.team@example.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}","","","","{""name"":""5arudtc0gl"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:27:27.508448"",""modified"":""2026-05-08 23:56:22.180078"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""8c815d0ab06fb86c28a80b3fa4ebf743f5f2fd7"",""parent"":""delivery.team@example.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"director.tv@example.com","vahe.muselimyan@gmail.com","2026-05-08 23:19:30.618808","2026-05-08 23:19:30.778485","vahe.muselimyan@gmail.com","0","0","1","director.tv@example.com","Directors TV",,"Directors TV","tv","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","Website User","0","0","{}","User","","","","","","{""name"":""a4qv989d28"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 23:19:30.685319"",""modified"":""2026-05-08 23:19:30.685319"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""9a7be2982617fe413f31e77fac75ee9f629ba1f"",""parent"":""director.tv@example.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"dispatch.coordinator@example.com","ai-agent@internal.com","2026-05-06 16:57:11.968821","2026-05-08 23:56:53.714135","vahe.muselimyan@gmail.com","0","0","1","dispatch.coordinator@example.com","Dispatch","Coordinator","Dispatch Coordinator","dispatch","en","Asia/Yerevan","0","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","{""name"":""ikfbov11qf"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-06 16:57:11.968821"",""modified"":""2026-05-08 23:56:53.714135"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Delivery"",""parent"":""dispatch.coordinator@example.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}","","","","{""name"":""ikgbem2prn"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-06 16:57:12.042135"",""modified"":""2026-05-08 23:56:53.714135"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""532ebf96e589ab3fc8639a84573027546aecce2"",""parent"":""dispatch.coordinator@example.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"emalumyan4@gmail.com","vahe.muselimyan@gmail.com","2026-05-08 20:35:40.047953","2026-05-08 20:35:45.902908","vahe.muselimyan@gmail.com","0","0","1","emalumyan4@gmail.com","Erik Malumyan",,"Erik Malumyan","erik_malumyan","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","[{""name"":""a6jdks6dmc"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:35:40.047953"",""modified"":""2026-05-08 20:35:45.902908"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Delivery"",""parent"":""emalumyan4@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""},{""name"":""a6jpj2293n"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:35:40.047953"",""modified"":""2026-05-08 20:35:45.902908"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":2,""role"":""Ops - Returns"",""parent"":""emalumyan4@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}]","","","","{""name"":""a4oofl45q6"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:35:40.066014"",""modified"":""2026-05-08 20:35:45.902908"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""16ec7126b5fc6c01933d4e55673572fddaf1871"",""parent"":""emalumyan4@gmail.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"finance.team@example.com","ai-agent@internal.com","2026-05-11 07:48:34.464747","2026-05-11 07:53:06.629751","ai-agent@internal.com","0","0","1","finance.team@example.com","Finance","Team","Finance Team","finance","en","Asia/Yerevan","0","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","{""name"":""eiqruaqbd8"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-11 07:48:34.464747"",""modified"":""2026-05-11 07:53:06.629751"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Finance"",""parent"":""finance.team@example.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}","","","","{""name"":""btpohbkv6o"",""owner"":""ai-agent@internal.com"",""creation"":""2026-05-11 07:48:34.535465"",""modified"":""2026-05-11 07:53:06.629751"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""16a577a05803479c8e59631aec5c5984f01a53e"",""parent"":""finance.team@example.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
"ghahramanyann@gmail.com","vahe.muselimyan@gmail.com","2026-05-08 20:37:39.594154","2026-05-08 20:37:45.493226","vahe.muselimyan@gmail.com","0","0","1","ghahramanyann@gmail.com","Norayr Ghahramanyan",,"Norayr Ghahramanyan","norayr_ghahramanyan","en","Asia/Yerevan","1","0","0","Light","vscode","1","1","1","1","1","1","0","1","1","0","","1","0","Daily","0","0","0","0","0","1","0","1","2","0","System User","0","0","{}","User","","{""name"":""bbvnhldnvu"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:37:39.594154"",""modified"":""2026-05-08 20:37:45.493226"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""role"":""Ops - Directors"",""parent"":""ghahramanyann@gmail.com"",""parentfield"":""roles"",""parenttype"":""User"",""doctype"":""Has Role""}","","","","{""name"":""ba4rb1c2sg"",""owner"":""vahe.muselimyan@gmail.com"",""creation"":""2026-05-08 20:37:39.624544"",""modified"":""2026-05-08 20:37:45.493226"",""modified_by"":""vahe.muselimyan@gmail.com"",""docstatus"":0,""idx"":1,""provider"":""frappe"",""userid"":""909d04fd5b2bf8cb19aff60fdf2246c96ccb365"",""parent"":""ghahramanyann@gmail.com"",""parentfield"":""social_logins"",""parenttype"":""User"",""doctype"":""User Social Login""}",""
